title,link,text
Screen: Discretion at 39 in Sautet's 'Simple Story':The Cast,https://www.nytimes.com/1980/02/10/archives/screen-discretion-at-39-in-sautets-simple-storythe-cast.html,largely late great immortal jack benny cant hear someone say he 39 without grin comic anticipation one mr benny teach u ever seriously certifiably 39 39 joke vain attempt stop timethis may explain part though skepticism simple story une histoire simple serious new film claude sautet writerdirector among films thing life cesar rosalie vincent franois paul othersa simple story simple story irony end instead discreetly poignant mixedup story marie 39 must reexamine life choice already make still face marie say successful industrial designer though see look serious behind easel never know design would way indiscreetwe learn marie 39 discreet fashion course interview doctor whos go perform abortion marie discreetly sad scene also little unreal marie play romy schneider stunningly beautiful woman 40 whose face suggest neither youth age supernatural agelessnessmarie vaguely discontent 16yearold son grow away know shes process split lover serge claude brasseur foolish weak man doesnt measure mary anklesthough dont really believe minute marie grow old one day begin haunt know must life mainly simple story mr sautet make movie nothing discreetly realistic know much change time marie weather particular crisis except shell grown way photogenic discreetly vaguediscretion may gather time operative word sautet film hugely successful france exception vincent franois paul others tend leave unmoved unconvinced im feeling depress im perfectly willing admit ive become jade roughandtumble american film respond subtlety sautet work well right minute im convince mr sautets film empty suspect though attractively act mount sometimes unexpectedly cinematic stylein course simple story lot jolly gettogethers among marie female friend among marie female friend lover husband good time bad weekend lovely country house happysad afterwork drink favorite cafe lover quarrel discreet love scenes one suicide marie exhusband george bruno cremer brief affair affair afterdinner brandy introduction new meal food preparation consumption play important part sautet filmsa simple story open today 57th street playhouse pretty movie extremely well acted anesthetize mr sautet treat character god heaven know powerful without connection anything else world film exactly world see people nothing outside movie framein serious movie even scale small method comic aware large scheme thing character fit people simple story film middleclass realism like people television commercial contemporary myth cast simple story direct claude sautet screenplay french english subtitle mr sautet jeanloup dabadie dialogue mr dabadie director photography jean boflety film editor jacqueline thiedot music philippe sarde produce alain sarde distribute quarlet film 57th street playhouse run time 110 minute film ratedmarie romy schneidergeorges bruno cremerserge claude brasseurgabrielle arlette bonnardesther sophie oaumieranna eva darianfrancine francine bergejerome roger pigautmaries mother madeline robinsonmartin yves knapp
Screen: 'Blood Feud' By Lina Wertmuller:Three Attitudes,https://www.nytimes.com/1980/02/22/archives/screen-blood-feud-by-lina-wertmullerthree-attitudes.html,high time wonder actress lina wertmuller film spend much time spit claw shriek camera director arouse strong passion performer still make audience drowsy pure exasperation seem key blood feud miss wertmuller bad hop skip jump best far see harsh word perhaps miss wertmuller make hysterical movie hard respond generously harangueblood feud open today plaza turn sophia loren harpy easy otherwise films accomplishment muddle minimal miss loren play shrill sicilian widow whose husband murder towns richest man soon become town influential fascist story begin 1920 spans several year becomes involve two men socialist lawyer marcello mastroianni gangster go america come back phrase english victrola giancarlo giannini wind love take quite discover meanwhile lot screamingmiss wertmuller fill screen messy camerawork gorgeous scenery present three attitude instead three character mean simple sound attitudes arent clearly render shift like sand gangster tends bad although brave useful socialist tends good although helplessness doesnt help woman clearly heroine defies law perform abortion men terribly sexist sex great big suprise u allblood feud stay talky build number action scene stag almost comically slapstick remarkable thing film greek temple sicilian countryside sheep see graze temple also see paint someone wall sheep reappear periodically many character turn black shirt storys doctrinaire end sheep might well expect saunter similar outfit fortunately doesnt happen three attitude blood feud write directed lina wertmuller director photography tonino delli colli film editor franco fraticelli music dangio nando de luca produce harry colombo release associate film distribution italian english subtitle plaza theater run time 99 minute film rat rtitina paterno sophia lorenlawyer spallone marcello mastroianninick sammichele giancarlo gianniniacicatena turi ferro
